temps,genotype,espece,sfeuille,sain,lesion
1,sensible,dp,4.969,4.969,0
1,sensible,dp,6.964,6.964,0
1,sensible,dp,7.506,7.506,0
1,sensible,dp,6.711,6.711,0
1,sensible,dp,6.866,6.866,0
1,sensible,dp,7.551,7.551,0
1,sensible,dp,8.279,8.279,0
1,sensible,dp,7.594,7.594,0
1,sensible,dp,7.845,7.845,0
1,sensible,dp,7.506,7.506,0
1,sensible,dp,6.621,6.621,0
1,sensible,dp,6.561,6.561,0
1,sensible,dp,6.6,6.6,0
1,sensible,dp,7.547,7.547,0
1,sensible,dp,6.003,6.003,0
1,sensible,dp,7.799,7.799,0
1,sensible,dp,5.003,5.003,0
1,sensible,dp,7.001,7.001,0
1,sensible,dp,7.72,7.72,0
1,sensible,dp,6.9,6.9,0
1,sensible,dp,7.521,7.521,0
1,sensible,dp,7.067,7.067,0
1,sensible,dp,8.637,8.637,0
1,sensible,dp,7.555,7.555,0
1,sensible,dp,6.281,6.281,0
1,sensible,dp,7.526,7.526,0
1,sensible,dp,6.849,6.849,0
1,sensible,dp,7.744,7.744,0
1,sensible,dp,7.694,7.694,0
1,sensible,dp,6.748,6.748,0
1,sensible,dp,7.096,7.096,0
1,sensible,dp,6.745,6.745,0
1,sensible,dp,6.996,6.996,0
1,sensible,dp,6.773,6.773,0
1,sensible,dp,7.832,7.832,0
1,sensible,dp,8.1,8.1,0
1,sensible,dp,7.351,7.351,0
1,sensible,dp,8.062,8.062,0
1,sensible,dp,7.672,7.672,0
1,sensible,dp,6.294,6.294,0
1,sensible,dp,6.813,6.813,0
1,sensible,dp,6.313,6.313,0
1,sensible,dp,7.372,7.372,0
1,sensible,dp,6.059,6.059,0
1,sensible,dp,6.254,6.253,0
1,sensible,dp,7.129,7.129,0
1,sensible,dp,6.855,6.855,0
1,sensible,dp,6.33,6.33,0
1,resistant,dp,2.465,2.465,0
1,resistant,dp,2.677,2.676,0
1,resistant,dp,2.309,2.309,0
1,resistant,dp,2.217,2.217,0
1,resistant,dp,2.27,2.27,0
1,resistant,dp,2.448,2.448,0
1,resistant,dp,1.921,1.921,0
1,resistant,dp,1.923,1.923,0
1,resistant,dp,2.026,2.026,0
1,resistant,dp,2.2,2.2,0
1,resistant,dp,2.172,2.172,0
1,resistant,dp,2.088,2.088,0
1,resistant,dp,2.248,2.248,0
1,resistant,dp,2.516,2.516,0
1,resistant,dp,2.403,2.403,0
1,resistant,dp,2.422,2.422,0
1,resistant,dp,2.474,2.474,0
1,resistant,dp,2.798,2.797,0
1,resistant,dp,2.164,2.164,0
1,resistant,dp,2.086,2.086,0
1,resistant,dp,3.057,3.057,0
1,resistant,dp,2.882,2.882,0
1,resistant,dp,2.572,2.572,0
1,resistant,dp,2.711,2.711,0
1,resistant,dp,2.805,2.805,0
1,resistant,dp,2.373,2.373,0
1,resistant,dp,2.315,2.315,0
1,resistant,dp,2.292,2.292,0
1,resistant,dp,2.12,2.12,0
1,resistant,dp,2.056,2.056,0
1,resistant,dp,2.501,2.501,0
1,resistant,dp,2.478,2.478,0
1,resistant,dp,2.788,2.788,0
1,resistant,dp,2.567,2.567,0
1,resistant,dp,2.404,2.404,0
1,resistant,dp,2.587,2.587,0
1,resistant,dp,2.624,2.624,0
1,resistant,dp,2.841,2.841,0
1,resistant,dp,3.344,3.344,0
1,resistant,dp,2.748,2.748,0
1,resistant,dp,2.422,2.422,0
1,resistant,dp,2.169,2.167,0.001
1,resistant,dp,2.077,2.077,0
1,resistant,dp,2.686,2.677,0.008
1,resistant,dp,2.697,2.697,0
1,resistant,dp,2.071,2.069,0.001
1,resistant,dp,2.35,2.349,0
1,resistant,dp,2.663,2.661,0.001
1,resistant,dp,2.816,2.815,0
1,resistant,dp,2.976,2.976,0
